candidate_id,target_role,seniority_level,experience_years,skills,tools,education,certifications,project_summary,resume_text,cleaned_text,synthetic_data,privacy_status
CAND_0001,Frontend Developer,Junior,0,"React, Cypress, Tailwind CSS, Next.js, Accessibility, JavaScript, TypeScript, Public Service Systems, Agile, SQL, REST API, Java, component library, browser rendering","VS Code, Vite, Figma, Storybook, Chrome DevTools, Jira, Git",Associate degree in Software Development,Meta Front-End Developer Certificate,Delivered a component-based web interface with clear validation and user feedback for a digital identity verification platform.,"Candidate profile: Synthetic anonymized candidate CAND_0001 for Junior Frontend Developer. Experience: 0 years in IT delivery for public service environments. Skills: React, Cypress, Tailwind CSS, Next.js, Accessibility, JavaScript, TypeScript, Public Service Systems, Agile, SQL, REST API, Java, component library, browser rendering. Tools: VS Code, Vite, Figma, Storybook, Chrome DevTools, Jira, Git. Education: Associate degree in Software Development. Certifications: Meta Front-End Developer Certificate. Project summary: Delivered a component-based web interface with clear validation and user feedback for a digital identity verification platform. Responsibilities included supported testing, wrote basic documentation, fixed small bugs. Impact: reduced manual review effort. Privacy status: synthetic anonymized academic resume with no real personal data.",candidate profile synthetic anonymized candidate cand 0001 for junior frontend developer. experience 0 years in it delivery for public service environments. skills react cypress tailwind css next.js accessibility javascript typescript public service systems agile sql rest api java component library browser rendering. tools vs code vite figma storybook chrome devtools jira git. education associate degree in software development. certifications meta front-end developer certificate. project summary delivered a component-based web interface with clear validation and user feedback for a digital identity verification platform. responsibilities included supported testing wrote basic documentation fixed small bugs. impact reduced manual review effort. privacy status synthetic anonymized academic resume with no real personal data.,True,Synthetic anonymized academic data - no real personal information
CAND_0002,Frontend Developer,Junior,1,"TypeScript, CSS3, Web Performance, HTML5, Accessibility, Tailwind CSS, React, Security Awareness, Agile, REST API, Git, Unit Testing, Push Notifications, frontend routing, web accessibility","Figma, VS Code, Webpack, Jira, Slack",Foundation Degree in Computing,Meta Front-End Developer Certificate,"Improved accessibility, page speed, and API-connected forms for a transport permit application service.","Technical background: Synthetic anonymized candidate CAND_0002 for Junior Frontend Developer. Experience: 1 years in IT delivery for public service environments. Skills: TypeScript, CSS3, Web Performance, HTML5, Accessibility, Tailwind CSS, React, Security Awareness, Agile, REST API, Git, Unit Testing, Push Notifications, frontend routing, web accessibility. Tools: Figma, VS Code, Webpack, Jira, Slack. Education: Foundation Degree in Computing. Certifications: Meta Front-End Developer Certificate. Project summary: Improved accessibility, page speed, and API-connected forms for a transport permit application service. Responsibilities included supported testing, wrote basic documentation, implemented supervised tasks. Impact: supported secure public service delivery. Privacy status: synthetic anonymized academic resume with no real personal data.",technical background synthetic anonymized candidate cand 0002 for junior frontend developer. experience 1 years in it delivery for public service environments. skills typescript css3 web performance html5 accessibility tailwind css react security awareness agile rest api git unit testing push notifications frontend routing web accessibility. tools figma vs code webpack jira slack. education foundation degree in computing. certifications meta front-end developer certificate. project summary improved accessibility page speed and api-connected forms for a transport permit application service. responsibilities included supported testing wrote basic documentation implemented supervised tasks. impact supported secure public service delivery. privacy status synthetic anonymized academic resume with no real personal data.,True,Synthetic anonymized academic data - no real personal information
CAND_0003,Frontend Developer,Junior,0,"Cypress, Accessibility, Jest, TypeScript, Responsive Design, JavaScript, Next.js, Web Performance, Redux Toolkit, SQL, REST API, Docker, Pandas, browser rendering, component library","Vite, VS Code, Figma, Jira, GitHub, Confluence",Computer Science bootcamp with portfolio projects,React Professional Certificate,Built responsive screens and reusable UI components for a public service contact centre tooling.,"Role-focused CV summary: Synthetic anonymized candidate CAND_0003 for Junior Frontend Developer. Experience: 0 years in IT delivery for public service environments. Skills: Cypress, Accessibility, Jest, TypeScript, Responsive Design, JavaScript, Next.js, Web Performance, Redux Toolkit, SQL, REST API, Docker, Pandas, browser rendering, component library. Tools: Vite, VS Code, Figma, Jira, GitHub, Confluence. Education: Computer Science bootcamp with portfolio projects. Certifications: React Professional Certificate. Project summary: Built responsive screens and reusable UI components for a public service contact centre tooling. Responsibilities included wrote basic documentation, fixed small bugs, implemented supervised tasks. Impact: helped teams make faster technical decisions. Privacy status: synthetic anonymized academic resume with no real personal data.",role-focused cv summary synthetic anonymized candidate cand 0003 for junior frontend developer. experience 0 years in it delivery for public service environments. skills cypress accessibility jest typescript responsive design javascript next.js web performance redux toolkit sql rest api docker pandas browser rendering component library. tools vite vs code figma jira github confluence. education computer science bootcamp with portfolio projects. certifications react professional certificate. project summary built responsive screens and reusable ui components for a public service contact centre tooling. responsibilities included wrote basic documentation fixed small bugs implemented supervised tasks. impact helped teams make faster technical decisions. privacy status synthetic anonymized academic resume with no real personal data.,True,Synthetic anonymized academic data - no real personal information
CAND_0004,Frontend Developer,Junior,1,"CSS3, Responsive Design, Web Performance, HTML5, Next.js, JavaScript, Redux Toolkit, React, Cypress, Accessibility, TypeScript, Documentation, API Testing, SQL, Git, Automation Testing, Test Cases, frontend routing, web accessibility","Figma, Webpack, Vite, GitHub, Jira, Slack",Associate degree in Software Development,React Professional Certificate,"Improved accessibility, page speed, and API-connected forms for a digital identity verification platform.","Candidate profile: Synthetic anonymized candidate CAND_0004 for Junior Frontend Developer. Experience: 1 years in IT delivery for public service environments. Skills: CSS3, Responsive Design, Web Performance, HTML5, Next.js, JavaScript, Redux Toolkit, React, Cypress, Accessibility, TypeScript, Documentation, API Testing, SQL, Git, Automation Testing, Test Cases, frontend routing, web accessibility. Tools: Figma, Webpack, Vite, GitHub, Jira, Slack. Education: Associate degree in Software Development. Certifications: React Professional Certificate. Project summary: Improved accessibility, page speed, and API-connected forms for a digital identity verification platform. Responsibilities included implemented supervised tasks, wrote basic documentation, supported testing. Impact: helped teams make faster technical decisions. Privacy status: synthetic anonymized academic resume with no real personal data.",candidate profile synthetic anonymized candidate cand 0004 for junior frontend developer. experience 1 years in it delivery for public service environments. skills css3 responsive design web performance html5 next.js javascript redux toolkit react cypress accessibility typescript documentation api testing sql git automation testing test cases frontend routing web accessibility. tools figma webpack vite github jira slack. education associate degree in software development. certifications react professional certificate. project summary improved accessibility page speed and api-connected forms for a digital identity verification platform. responsibilities included implemented supervised tasks wrote basic documentation supported testing. impact helped teams make faster technical decisions. privacy status synthetic anonymized academic resume with no real personal data.,True,Synthetic anonymized academic data - no real personal information
CAND_0005,Frontend Developer,Junior,0,"Web Performance, Accessibility, API integration, Responsive Design, Next.js, JavaScript, HTML5, CSS3, TypeScript, Public Service Systems, Git, SQL, Documentation, Postman, frontend routing, component library","VS Code, Figma, Vite, Jira, Slack",Computer Science bootcamp with portfolio projects,Meta Front-End Developer Certificate,Built responsive screens and reusable UI components for a secure document submission workflow.,"Candidate profile: Synthetic anonymized candidate CAND_0005 for Junior Frontend Developer. Experience: 0 years in IT delivery for public service environments. Skills: Web Performance, Accessibility, API integration, Responsive Design, Next.js, JavaScript, HTML5, CSS3, TypeScript, Public Service Systems, Git, SQL, Documentation, Postman, frontend routing, component library. Tools: VS Code, Figma, Vite, Jira, Slack. Education: Computer Science bootcamp with portfolio projects. Certifications: Meta Front-End Developer Certificate. Project summary: Built responsive screens and reusable UI components for a secure document submission workflow. Responsibilities included fixed small bugs, supported testing, wrote basic documentation. Impact: supported secure public service delivery. Privacy status: synthetic anonymized academic resume with no real personal data.",candidate profile synthetic anonymized candidate cand 0005 for junior frontend developer. experience 0 years in it delivery for public service environments. skills web performance accessibility api integration responsive design next.js javascript html5 css3 typescript public service systems git sql documentation postman frontend routing component library. tools vs code figma vite jira slack. education computer science bootcamp with portfolio projects. certifications meta front-end developer certificate. project summary built responsive screens and reusable ui components for a secure document submission workflow. responsibilities included fixed small bugs supported testing wrote basic documentation. impact supported secure public service delivery. privacy status synthetic anonymized academic resume with no real personal data.,True,Synthetic anonymized academic data - no real personal information
CAND_0006,Frontend Developer,Junior,2,"CSS3, Next.js, API integration, Jest, Tailwind CSS, Web Performance, HTML5, Accessibility, Responsive Design, Cypress, React, REST API, Agile, Model Deployment, component library, frontend routing","VS Code, Jira, Webpack, Storybook, Confluence, Slack",BTEC Level 3 IT,Google UX Design Certificate,Delivered a component-based web interface with clear validation and user feedback for a public benefits case management portal.,"Project experience overview: Synthetic anonymized candidate CAND_0006 for Junior Frontend Developer. Experience: 2 years in IT delivery for public service environments. Skills: CSS3, Next.js, API integration, Jest, Tailwind CSS, Web Performance, HTML5, Accessibility, Responsive Design, Cypress, React, REST API, Agile, Model Deployment, component library, frontend routing. Tools: VS Code, Jira, Webpack, Storybook, Confluence, Slack. Education: BTEC Level 3 IT. Certifications: Google UX Design Certificate. Project summary: Delivered a component-based web interface with clear validation and user feedback for a public benefits case management portal. Responsibilities included fixed small bugs, wrote basic documentation, supported testing. Impact: reduced manual review effort. Privacy status: synthetic anonymized academic resume with no real personal data.",project experience overview synthetic anonymized candidate cand 0006 for junior frontend developer. experience 2 years in it delivery for public service environments. skills css3 next.js api integration jest tailwind css web performance html5 accessibility responsive design cypress react rest api agile model deployment component library frontend routing. tools vs code jira webpack storybook confluence slack. education btec level 3 it. certifications google ux design certificate. project summary delivered a component-based web interface with clear validation and user feedback for a public benefits case management portal. responsibilities included fixed small bugs wrote basic documentation supported testing. impact reduced manual review effort. privacy status synthetic anonymized academic resume with no real personal data.,True,Synthetic anonymized academic data - no real personal information
CAND_0007,Frontend Developer,Junior,2,"Cypress, Responsive Design, Jest, Redux Toolkit, Next.js, Accessibility, CSS3, TypeScript, Agile, API Testing, Model Training, Model Evaluation, browser rendering, frontend routing","Figma, VS Code, Chrome DevTools, GitHub, Storybook, Webpack, Confluence, Slack",Computer Science bootcamp with portfolio projects,JavaScript Algorithms Certificate,Built responsive screens and reusable UI components for a transport permit application service.,"Professional summary: Synthetic anonymized candidate CAND_0007 for Junior Frontend Developer. Experience: 2 years in IT delivery for public service environments. Skills: Cypress, Responsive Design, Jest, Redux Toolkit, Next.js, Accessibility, CSS3, TypeScript, Agile, API Testing, Model Training, Model Evaluation, browser rendering, frontend routing. Tools: Figma, VS Code, Chrome DevTools, GitHub, Storybook, Webpack, Confluence, Slack. Education: Computer Science bootcamp with portfolio projects. Certifications: JavaScript Algorithms Certificate. Project summary: Built responsive screens and reusable UI components for a transport permit application service. Responsibilities included wrote basic documentation, supported testing, implemented supervised tasks. Impact: improved release confidence. Privacy status: synthetic anonymized academic resume with no real personal data.",professional summary synthetic anonymized candidate cand 0007 for junior frontend developer. experience 2 years in it delivery for public service environments. skills cypress responsive design jest redux toolkit next.js accessibility css3 typescript agile api testing model training model evaluation browser rendering frontend routing. tools figma vs code chrome devtools github storybook webpack confluence slack. education computer science bootcamp with portfolio projects. certifications javascript algorithms certificate. project summary built responsive screens and reusable ui components for a transport permit application service. responsibilities included wrote basic documentation supported testing implemented supervised tasks. impact improved release confidence. privacy status synthetic anonymized academic resume with no real personal data.,True,Synthetic anonymized academic data - no real personal information
CAND_0008,Frontend Developer,Junior,2,"React, Accessibility, API integration, Web Performance, TypeScript, Next.js, JavaScript, Security Awareness, Public Service Systems, Agile, Jira, web accessibility, browser rendering","Vite, Storybook, Chrome DevTools, GitHub, Webpack, Git, Slack",Foundation Degree in Computing,Google UX Design Certificate,Built responsive screens and reusable UI components for a health service information dashboard.,"Technical background: Synthetic anonymized candidate CAND_0008 for Junior Frontend Developer. Experience: 2 years in IT delivery for public service environments. Skills: React, Accessibility, API integration, Web Performance, TypeScript, Next.js, JavaScript, Security Awareness, Public Service Systems, Agile, Jira, web accessibility, browser rendering. Tools: Vite, Storybook, Chrome DevTools, GitHub, Webpack, Git, Slack. Education: Foundation Degree in Computing. Certifications: Google UX Design Certificate. Project summary: Built responsive screens and reusable UI components for a health service information dashboard. Responsibilities included followed coding standards, implemented supervised tasks, wrote basic documentation. Impact: improved documentation quality. Privacy status: synthetic anonymized academic resume with no real personal data.",technical background synthetic anonymized candidate cand 0008 for junior frontend developer. experience 2 years in it delivery for public service environments. skills react accessibility api integration web performance typescript next.js javascript security awareness public service systems agile jira web accessibility browser rendering. tools vite storybook chrome devtools github webpack git slack. education foundation degree in computing. certifications google ux design certificate. project summary built responsive screens and reusable ui components for a health service information dashboard. responsibilities included followed coding standards implemented supervised tasks wrote basic documentation. impact improved documentation quality. privacy status synthetic anonymized academic resume with no real personal data.,True,Synthetic anonymized academic data - no real personal information
CAND_0009,Frontend Developer,Junior,0,"Redux Toolkit, API integration, Jest, JavaScript, React, Cypress, TypeScript, CSS3, Web Performance, Responsive Design, Tailwind CSS, REST API, API Testing, Git, SQL, Guardrails, browser rendering, component library","Webpack, GitHub, Figma, Storybook, Jira, Chrome DevTools, Git, Slack",Associate degree in Software Development,React Professional Certificate,Built responsive screens and reusable UI components for a education records support platform.,"Role-focused CV summary: Synthetic anonymized candidate CAND_0009 for Junior Frontend Developer. Experience: 0 years in IT delivery for public service environments. Skills: Redux Toolkit, API integration, Jest, JavaScript, React, Cypress, TypeScript, CSS3, Web Performance, Responsive Design, Tailwind CSS, REST API, API Testing, Git, SQL, Guardrails, browser rendering, component library. Tools: Webpack, GitHub, Figma, Storybook, Jira, Chrome DevTools, Git, Slack. Education: Associate degree in Software Development. Certifications: React Professional Certificate. Project summary: Built responsive screens and reusable UI components for a education records support platform. Responsibilities included implemented supervised tasks, supported testing, wrote basic documentation. Impact: improved documentation quality. Privacy status: synthetic anonymized academic resume with no real personal data.",role-focused cv summary synthetic anonymized candidate cand 0009 for junior frontend developer. experience 0 years in it delivery for public service environments. skills redux toolkit api integration jest javascript react cypress typescript css3 web performance responsive design tailwind css rest api api testing git sql guardrails browser rendering component library. tools webpack github figma storybook jira chrome devtools git slack. education associate degree in software development. certifications react professional certificate. project summary built responsive screens and reusable ui components for a education records support platform. responsibilities included implemented supervised tasks supported testing wrote basic documentation. impact improved documentation quality. privacy status synthetic anonymized academic resume with no real personal data.,True,Synthetic anonymized academic data - no real personal information
CAND_0010,Frontend Developer,Junior,0,"Next.js, API integration, Tailwind CSS, JavaScript, HTML5, TypeScript, Web Performance, Accessibility, CSS3, Jest, Redux Toolkit, SQL, Git, Docker, Public Service Systems, TensorFlow, frontend routing, browser rendering","GitHub, Jira, Storybook, Vite, Confluence",Associate degree in Software Development,JavaScript Algorithms Certificate,Delivered a component-based web interface with clear validation and user feedback for a municipal reporting and request system.,"Professional summary: Synthetic anonymized candidate CAND_0010 for Junior Frontend Developer. Experience: 0 years in IT delivery for public service environments. Skills: Next.js, API integration, Tailwind CSS, JavaScript, HTML5, TypeScript, Web Performance, Accessibility, CSS3, Jest, Redux Toolkit, SQL, Git, Docker, Public Service Systems, TensorFlow, frontend routing, browser rendering. Tools: GitHub, Jira, Storybook, Vite, Confluence. Education: Associate degree in Software Development. Certifications: JavaScript Algorithms Certificate. Project summary: Delivered a component-based web interface with clear validation and user feedback for a municipal reporting and request system. Responsibilities included supported testing, wrote basic documentation, implemented supervised tasks. Impact: improved release confidence. Privacy status: synthetic anonymized academic resume with no real personal data.",professional summary synthetic anonymized candidate cand 0010 for junior frontend developer. experience 0 years in it delivery for public service environments. skills next.js api integration tailwind css javascript html5 typescript web performance accessibility css3 jest redux toolkit sql git docker public service systems tensorflow frontend routing browser rendering. tools github jira storybook vite confluence. education associate degree in software development. certifications javascript algorithms certificate. project summary delivered a component-based web interface with clear validation and user feedback for a municipal reporting and request system. responsibilities included supported testing wrote basic documentation implemented supervised tasks. impact improved release confidence. privacy status synthetic anonymized academic resume with no real personal data.,True,Synthetic anonymized academic data - no real personal information
