candidate_id,target_role,seniority_level,resume_text,cleaned_text
CAND_001,Frontend Developer,Junior,"Candidate ID: CAND_001. Anonymized synthetic CV for a Junior Frontend Developer. Experience level: 0-2 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: Next.js, CSS3, REST APIs, Git, JavaScript, TypeScript, Responsive Design, Vue.js, Jest, documentation. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: implemented small features under supervision, fixed assigned issues, wrote documentation notes, and supported testing activities. Education: BTEC Level 3 IT or Computer Science foundation with practical project work. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 001. anonymized synthetic cv for a junior frontend developer. experience level 0-2 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills next.js css3 rest apis git javascript typescript responsive design vue.js jest documentation. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities implemented small features under supervision fixed assigned issues wrote documentation notes and supported testing activities. education btec level 3 it or computer science foundation with practical project work. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_002,Frontend Developer,Junior,"Candidate ID: CAND_002. Anonymized synthetic CV for a Junior Frontend Developer. Experience level: 0-2 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: CSS3, REST APIs, Git, JavaScript, TypeScript, Responsive Design, Vue.js, Jest, Web Performance, Next.js, documentation. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: implemented small features under supervision, fixed assigned issues, wrote documentation notes, and supported testing activities. Education: BTEC Level 3 IT or Computer Science foundation with practical project work. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 002. anonymized synthetic cv for a junior frontend developer. experience level 0-2 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills css3 rest apis git javascript typescript responsive design vue.js jest web performance next.js documentation. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities implemented small features under supervision fixed assigned issues wrote documentation notes and supported testing activities. education btec level 3 it or computer science foundation with practical project work. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_003,Frontend Developer,Junior,"Candidate ID: CAND_003. Anonymized synthetic CV for a Junior Frontend Developer. Experience level: 0-2 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: REST APIs, Git, JavaScript, TypeScript, Responsive Design, Vue.js, Jest, Web Performance, Next.js, CSS3, documentation. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: implemented small features under supervision, fixed assigned issues, wrote documentation notes, and supported testing activities. Education: BTEC Level 3 IT or Computer Science foundation with practical project work. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 003. anonymized synthetic cv for a junior frontend developer. experience level 0-2 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills rest apis git javascript typescript responsive design vue.js jest web performance next.js css3 documentation. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities implemented small features under supervision fixed assigned issues wrote documentation notes and supported testing activities. education btec level 3 it or computer science foundation with practical project work. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_004,Frontend Developer,Junior,"Candidate ID: CAND_004. Anonymized synthetic CV for a Junior Frontend Developer. Experience level: 0-2 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: Git, JavaScript, TypeScript, Responsive Design, Vue.js, Jest, Web Performance, Next.js, CSS3, REST APIs, documentation. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: implemented small features under supervision, fixed assigned issues, wrote documentation notes, and supported testing activities. Education: BTEC Level 3 IT or Computer Science foundation with practical project work. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 004. anonymized synthetic cv for a junior frontend developer. experience level 0-2 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills git javascript typescript responsive design vue.js jest web performance next.js css3 rest apis documentation. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities implemented small features under supervision fixed assigned issues wrote documentation notes and supported testing activities. education btec level 3 it or computer science foundation with practical project work. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_005,Frontend Developer,Junior,"Candidate ID: CAND_005. Anonymized synthetic CV for a Junior Frontend Developer. Experience level: 0-2 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: JavaScript, TypeScript, Responsive Design, Vue.js, Jest, Web Performance, Next.js, CSS3, REST APIs, documentation. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: implemented small features under supervision, fixed assigned issues, wrote documentation notes, and supported testing activities. Education: BTEC Level 3 IT or Computer Science foundation with practical project work. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 005. anonymized synthetic cv for a junior frontend developer. experience level 0-2 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills javascript typescript responsive design vue.js jest web performance next.js css3 rest apis documentation. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities implemented small features under supervision fixed assigned issues wrote documentation notes and supported testing activities. education btec level 3 it or computer science foundation with practical project work. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_006,Frontend Developer,Junior,"Candidate ID: CAND_006. Anonymized synthetic CV for a Junior Frontend Developer. Experience level: 0-2 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: TypeScript, Responsive Design, Vue.js, Jest, Web Performance, Next.js, CSS3, REST APIs, Git, JavaScript, documentation. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: implemented small features under supervision, fixed assigned issues, wrote documentation notes, and supported testing activities. Education: BTEC Level 3 IT or Computer Science foundation with practical project work. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 006. anonymized synthetic cv for a junior frontend developer. experience level 0-2 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills typescript responsive design vue.js jest web performance next.js css3 rest apis git javascript documentation. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities implemented small features under supervision fixed assigned issues wrote documentation notes and supported testing activities. education btec level 3 it or computer science foundation with practical project work. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_007,Frontend Developer,Junior,"Candidate ID: CAND_007. Anonymized synthetic CV for a Junior Frontend Developer. Experience level: 0-2 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: Responsive Design, Vue.js, Jest, Web Performance, Next.js, CSS3, REST APIs, Git, JavaScript, TypeScript, documentation. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: implemented small features under supervision, fixed assigned issues, wrote documentation notes, and supported testing activities. Education: BTEC Level 3 IT or Computer Science foundation with practical project work. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 007. anonymized synthetic cv for a junior frontend developer. experience level 0-2 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills responsive design vue.js jest web performance next.js css3 rest apis git javascript typescript documentation. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities implemented small features under supervision fixed assigned issues wrote documentation notes and supported testing activities. education btec level 3 it or computer science foundation with practical project work. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_008,Frontend Developer,Junior,"Candidate ID: CAND_008. Anonymized synthetic CV for a Junior Frontend Developer. Experience level: 0-2 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: Vue.js, Jest, Web Performance, Next.js, CSS3, REST APIs, Git, JavaScript, TypeScript, Responsive Design, documentation. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: implemented small features under supervision, fixed assigned issues, wrote documentation notes, and supported testing activities. Education: BTEC Level 3 IT or Computer Science foundation with practical project work. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 008. anonymized synthetic cv for a junior frontend developer. experience level 0-2 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills vue.js jest web performance next.js css3 rest apis git javascript typescript responsive design documentation. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities implemented small features under supervision fixed assigned issues wrote documentation notes and supported testing activities. education btec level 3 it or computer science foundation with practical project work. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_009,Frontend Developer,Junior,"Candidate ID: CAND_009. Anonymized synthetic CV for a Junior Frontend Developer. Experience level: 0-2 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: Jest, Web Performance, Next.js, CSS3, REST APIs, Git, JavaScript, TypeScript, Responsive Design, documentation. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: implemented small features under supervision, fixed assigned issues, wrote documentation notes, and supported testing activities. Education: BTEC Level 3 IT or Computer Science foundation with practical project work. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 009. anonymized synthetic cv for a junior frontend developer. experience level 0-2 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills jest web performance next.js css3 rest apis git javascript typescript responsive design documentation. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities implemented small features under supervision fixed assigned issues wrote documentation notes and supported testing activities. education btec level 3 it or computer science foundation with practical project work. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_010,Frontend Developer,Junior,"Candidate ID: CAND_010. Anonymized synthetic CV for a Junior Frontend Developer. Experience level: 0-2 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: Web Performance, Next.js, CSS3, REST APIs, Git, JavaScript, TypeScript, Responsive Design, Vue.js, Jest, documentation. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: implemented small features under supervision, fixed assigned issues, wrote documentation notes, and supported testing activities. Education: BTEC Level 3 IT or Computer Science foundation with practical project work. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 010. anonymized synthetic cv for a junior frontend developer. experience level 0-2 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills web performance next.js css3 rest apis git javascript typescript responsive design vue.js jest documentation. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities implemented small features under supervision fixed assigned issues wrote documentation notes and supported testing activities. education btec level 3 it or computer science foundation with practical project work. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_011,Frontend Developer,Middle,"Candidate ID: CAND_011. Anonymized synthetic CV for a Middle Frontend Developer. Experience level: 2-5 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: Material UI, Cypress, GraphQL, Git, REST APIs, React, CSS3, HTML5, Next.js, Responsive Design, JavaScript, stakeholder communication. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: owned medium-complexity features, reviewed code, integrated APIs, improved documentation, and collaborated across product and QA teams. Education: Bachelor-level computing study or equivalent professional experience. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 011. anonymized synthetic cv for a middle frontend developer. experience level 2-5 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills material ui cypress graphql git rest apis react css3 html5 next.js responsive design javascript stakeholder communication. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities owned medium-complexity features reviewed code integrated apis improved documentation and collaborated across product and qa teams. education bachelor-level computing study or equivalent professional experience. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_012,Frontend Developer,Middle,"Candidate ID: CAND_012. Anonymized synthetic CV for a Middle Frontend Developer. Experience level: 2-5 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: Cypress, GraphQL, Git, REST APIs, React, CSS3, HTML5, Next.js, Responsive Design, JavaScript, Redux Toolkit, Webpack, stakeholder communication. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: owned medium-complexity features, reviewed code, integrated APIs, improved documentation, and collaborated across product and QA teams. Education: Bachelor-level computing study or equivalent professional experience. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 012. anonymized synthetic cv for a middle frontend developer. experience level 2-5 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills cypress graphql git rest apis react css3 html5 next.js responsive design javascript redux toolkit webpack stakeholder communication. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities owned medium-complexity features reviewed code integrated apis improved documentation and collaborated across product and qa teams. education bachelor-level computing study or equivalent professional experience. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_013,Frontend Developer,Middle,"Candidate ID: CAND_013. Anonymized synthetic CV for a Middle Frontend Developer. Experience level: 2-5 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: GraphQL, Git, REST APIs, React, CSS3, HTML5, Next.js, Responsive Design, JavaScript, stakeholder communication. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: owned medium-complexity features, reviewed code, integrated APIs, improved documentation, and collaborated across product and QA teams. Education: Bachelor-level computing study or equivalent professional experience. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 013. anonymized synthetic cv for a middle frontend developer. experience level 2-5 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills graphql git rest apis react css3 html5 next.js responsive design javascript stakeholder communication. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities owned medium-complexity features reviewed code integrated apis improved documentation and collaborated across product and qa teams. education bachelor-level computing study or equivalent professional experience. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_014,Frontend Developer,Middle,"Candidate ID: CAND_014. Anonymized synthetic CV for a Middle Frontend Developer. Experience level: 2-5 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: Git, REST APIs, React, CSS3, HTML5, Next.js, Responsive Design, JavaScript, Redux Toolkit, Webpack, stakeholder communication. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: owned medium-complexity features, reviewed code, integrated APIs, improved documentation, and collaborated across product and QA teams. Education: Bachelor-level computing study or equivalent professional experience. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 014. anonymized synthetic cv for a middle frontend developer. experience level 2-5 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills git rest apis react css3 html5 next.js responsive design javascript redux toolkit webpack stakeholder communication. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities owned medium-complexity features reviewed code integrated apis improved documentation and collaborated across product and qa teams. education bachelor-level computing study or equivalent professional experience. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_015,Frontend Developer,Middle,"Candidate ID: CAND_015. Anonymized synthetic CV for a Middle Frontend Developer. Experience level: 2-5 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: REST APIs, React, CSS3, HTML5, Next.js, Responsive Design, JavaScript, Redux Toolkit, Webpack, Material UI, Cypress, stakeholder communication. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: owned medium-complexity features, reviewed code, integrated APIs, improved documentation, and collaborated across product and QA teams. Education: Bachelor-level computing study or equivalent professional experience. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 015. anonymized synthetic cv for a middle frontend developer. experience level 2-5 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills rest apis react css3 html5 next.js responsive design javascript redux toolkit webpack material ui cypress stakeholder communication. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities owned medium-complexity features reviewed code integrated apis improved documentation and collaborated across product and qa teams. education bachelor-level computing study or equivalent professional experience. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_016,Frontend Developer,Middle,"Candidate ID: CAND_016. Anonymized synthetic CV for a Middle Frontend Developer. Experience level: 2-5 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: React, CSS3, HTML5, Next.js, Responsive Design, JavaScript, Redux Toolkit, Webpack, Material UI, Cypress, GraphQL, Git, stakeholder communication. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: owned medium-complexity features, reviewed code, integrated APIs, improved documentation, and collaborated across product and QA teams. Education: Bachelor-level computing study or equivalent professional experience. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 016. anonymized synthetic cv for a middle frontend developer. experience level 2-5 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills react css3 html5 next.js responsive design javascript redux toolkit webpack material ui cypress graphql git stakeholder communication. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities owned medium-complexity features reviewed code integrated apis improved documentation and collaborated across product and qa teams. education bachelor-level computing study or equivalent professional experience. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_017,Frontend Developer,Middle,"Candidate ID: CAND_017. Anonymized synthetic CV for a Middle Frontend Developer. Experience level: 2-5 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: CSS3, HTML5, Next.js, Responsive Design, JavaScript, Redux Toolkit, Webpack, Material UI, Cypress, stakeholder communication. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: owned medium-complexity features, reviewed code, integrated APIs, improved documentation, and collaborated across product and QA teams. Education: Bachelor-level computing study or equivalent professional experience. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 017. anonymized synthetic cv for a middle frontend developer. experience level 2-5 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills css3 html5 next.js responsive design javascript redux toolkit webpack material ui cypress stakeholder communication. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities owned medium-complexity features reviewed code integrated apis improved documentation and collaborated across product and qa teams. education bachelor-level computing study or equivalent professional experience. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_018,Frontend Developer,Middle,"Candidate ID: CAND_018. Anonymized synthetic CV for a Middle Frontend Developer. Experience level: 2-5 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: HTML5, Next.js, Responsive Design, JavaScript, Redux Toolkit, Webpack, Material UI, Cypress, GraphQL, Git, stakeholder communication. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: owned medium-complexity features, reviewed code, integrated APIs, improved documentation, and collaborated across product and QA teams. Education: Bachelor-level computing study or equivalent professional experience. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 018. anonymized synthetic cv for a middle frontend developer. experience level 2-5 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills html5 next.js responsive design javascript redux toolkit webpack material ui cypress graphql git stakeholder communication. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities owned medium-complexity features reviewed code integrated apis improved documentation and collaborated across product and qa teams. education bachelor-level computing study or equivalent professional experience. privacy note this is synthetic anonymized data and contains no real candidate personal information.
CAND_019,Frontend Developer,Middle,"Candidate ID: CAND_019. Anonymized synthetic CV for a Middle Frontend Developer. Experience level: 2-5 years. Profile: public service technology professional with experience in secure, reliable, and documented digital systems. Core skills: Next.js, Responsive Design, JavaScript, Redux Toolkit, Webpack, Material UI, Cypress, GraphQL, Git, REST APIs, React, stakeholder communication. Projects: built accessible citizen-facing web pages, responsive UI components, and API-connected dashboards. Responsibilities: owned medium-complexity features, reviewed code, integrated APIs, improved documentation, and collaborated across product and QA teams. Education: Bachelor-level computing study or equivalent professional experience. Privacy note: this is synthetic anonymized data and contains no real candidate personal information.",candidate id cand 019. anonymized synthetic cv for a middle frontend developer. experience level 2-5 years. profile public service technology professional with experience in secure reliable and documented digital systems. core skills next.js responsive design javascript redux toolkit webpack material ui cypress graphql git rest apis react stakeholder communication. projects built accessible citizen-facing web pages responsive ui components and api-connected dashboards. responsibilities owned medium-complexity features reviewed code integrated apis improved documentation and collaborated across product and qa teams. education bachelor-level computing study or equivalent professional experience. privacy note this is synthetic anonymized data and contains no real candidate personal information.
